dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.200000,2.807500,0.000030,0.005997,0.599698,59.969783,0.000000
0.010000,3.200022,2.807500,0.000052,0.002192,-0.380453,-98.015109,0.000000
0.010000,3.200292,2.807500,0.000322,0.026986,2.479396,285.984891,0.000000
0.010000,3.200772,2.807500,0.000802,0.047976,2.098942,-38.045326,0.000000
0.010000,3.201521,2.807500,0.001551,0.074962,2.698640,59.969783,0.000000
0.010000,3.202571,2.807500,0.002601,0.104947,2.998489,29.984891,0.000000
0.010000,3.203920,2.807500,0.003950,0.134932,2.998489,0.000000,0.000000
0.010000,3.205569,2.807500,0.005599,0.164917,2.998489,0.000000,0.000000
0.010000,3.207518,2.807500,0.007548,0.194902,2.998489,-0.000000,0.000000
0.010000,3.209767,2.807500,0.009797,0.224887,2.998489,0.000000,0.000000
0.010000,3.212316,2.807500,0.012346,0.254872,2.998489,-0.000000,0.000000
0.010000,3.215164,2.807500,0.015194,0.284856,2.998489,0.000000,0.000000
0.010000,3.218313,2.807500,0.018343,0.314841,2.998489,-0.000000,0.000000
0.010000,3.221761,2.807500,0.021791,0.344826,2.998489,0.000000,0.000000
0.010000,3.225509,2.807500,0.025539,0.374811,2.998489,0.000000,0.000000
0.010000,3.229557,2.807500,0.029587,0.404796,2.998489,-0.000000,0.000000
0.010000,3.233905,2.807500,0.033935,0.434781,2.998489,0.000000,0.000000
0.010000,3.238553,2.807500,0.038582,0.464766,2.998489,0.000000,0.000000
0.010000,3.243500,2.807500,0.043530,0.494751,2.998489,0.000000,0.000000
0.010000,3.248747,2.807500,0.048777,0.524736,2.998489,-0.000000,0.000000
0.010000,3.254295,2.807500,0.054325,0.554720,2.998489,0.000000,0.000000
0.010000,3.260142,2.807500,0.060172,0.584705,2.998489,-0.000000,0.000000
0.010000,3.266289,2.807500,0.066319,0.614690,2.998489,0.000000,0.000000
0.010000,3.272735,2.807500,0.072765,0.644675,2.998489,0.000000,0.000000
0.010000,3.279482,2.807500,0.079512,0.674660,2.998489,0.000000,0.000000
0.010000,3.286528,2.807500,0.086558,0.704645,2.998489,-0.000000,0.000000
0.010000,3.293875,2.807500,0.093905,0.734630,2.998489,0.000000,0.000000
0.010000,3.301521,2.807500,0.101551,0.764615,2.998489,0.000000,0.000000
0.010000,3.309467,2.807500,0.109497,0.794600,2.998489,-0.000000,0.000000
0.010000,3.317713,2.807500,0.117743,0.824585,2.998489,0.000000,0.000000
0.010000,3.326258,2.807500,0.126288,0.854569,2.998489,0.000000,0.000000
0.010000,3.335104,2.807500,0.135134,0.884554,2.998489,-0.000000,0.000000
0.010000,3.344249,2.807500,0.144279,0.914539,2.998489,0.000000,0.000000
0.010000,3.353694,2.807500,0.153724,0.944524,2.998489,-0.000000,0.000000
0.010000,3.363440,2.807500,0.163470,0.974509,2.998489,0.000000,0.000000
0.010000,3.373485,2.807500,0.173515,1.004494,2.998489,0.000000,0.000000
0.010000,3.383829,2.807500,0.183859,1.034479,2.998489,0.000000,0.000000
0.010000,3.394474,2.807500,0.194504,1.064464,2.998489,0.000000,0.000000
0.010000,3.405418,2.807500,0.205448,1.094449,2.998489,-0.000000,0.000000
0.010000,3.416663,2.807500,0.216693,1.124433,2.998489,0.000000,0.000000
0.010000,3.428207,2.807500,0.228237,1.154418,2.998489,-0.000000,0.000000
0.010000,3.440051,2.807500,0.240081,1.184403,2.998489,0.000000,0.000000
0.010000,3.452195,2.807500,0.252225,1.214388,2.998489,-0.000000,0.000000
0.010000,3.464639,2.807500,0.264669,1.244373,2.998489,0.000000,0.000000
0.010000,3.477382,2.807500,0.277412,1.274358,2.998489,0.000000,0.000000
0.010000,3.490426,2.807500,0.290456,1.304343,2.998489,-0.000000,0.000000
0.010000,3.503769,2.807500,0.303799,1.334328,2.998489,0.000000,0.000000
0.010000,3.517412,2.807500,0.317442,1.364313,2.998489,0.000000,0.000000
0.010000,3.531355,2.807500,0.331385,1.394297,2.998489,0.000000,0.000000
0.010000,3.545598,2.807500,0.345628,1.424282,2.998489,0.000000,0.000000
0.010000,3.560140,2.807500,0.360170,1.454267,2.998489,-0.000000,0.000000
0.010000,3.574983,2.807500,0.375013,1.484252,2.998489,0.000000,0.000000
0.010000,3.590125,2.807500,0.390155,1.514237,2.998489,0.000000,0.000000
0.010000,3.605568,2.807500,0.405598,1.544222,2.998489,-0.000000,0.000000
0.010000,3.621310,2.807500,0.421340,1.574207,2.998489,-0.000000,0.000000
0.010000,3.637352,2.807500,0.437382,1.604192,2.998489,0.000000,0.000000
0.010000,3.653693,2.807500,0.453723,1.634177,2.998489,0.000000,0.000000
0.010000,3.670335,2.807500,0.470365,1.664161,2.998489,-0.000000,0.000000
0.010000,3.687276,2.807500,0.487306,1.694146,2.998489,0.000000,0.000000
0.010000,3.704518,2.807500,0.504548,1.724131,2.998489,0.000000,0.000000
0.010000,3.722059,2.807500,0.522089,1.754116,2.998489,0.000000,0.000000
0.010000,3.739900,2.807500,0.539930,1.784101,2.998489,-0.000000,0.000000
0.010000,3.758041,2.807500,0.558071,1.814086,2.998489,0.000000,0.000000
0.010000,3.776481,2.807500,0.576511,1.844071,2.998489,-0.000000,0.000000
0.010000,3.795222,2.807500,0.595252,1.874056,2.998489,0.000000,0.000000
0.010000,3.814262,2.807500,0.614292,1.904041,2.998489,-0.000000,0.000000
0.010000,3.833603,2.807500,0.633633,1.934026,2.998489,0.000000,0.000000
0.010000,3.853243,2.807500,0.653273,1.964010,2.998489,0.000000,0.000000
0.010000,3.873183,2.807500,0.673213,1.993995,2.998489,-0.000000,0.000000
0.010000,3.893423,2.807500,0.693453,2.023980,2.998489,0.000000,0.000000
0.010000,3.913962,2.807500,0.713992,2.053965,2.998489,0.000000,0.000000
0.010000,3.934802,2.807500,0.734832,2.083950,2.998489,-0.000000,0.000000
0.010000,3.955941,2.807500,0.755971,2.113935,2.998489,0.000000,0.000000
0.010000,3.977380,2.807500,0.777410,2.143920,2.998489,0.000000,0.000000
0.010000,3.999119,2.807500,0.799149,2.173905,2.998489,-0.000000,0.000000
0.010000,4.021158,2.807500,0.821188,2.203890,2.998489,0.000000,0.000000
0.010000,4.043497,2.807500,0.843527,2.233874,2.998489,-0.000000,0.000000
0.010000,4.066136,2.807500,0.866166,2.263859,2.998489,0.000000,0.000000
0.010000,4.089074,2.807500,0.889104,2.293844,2.998489,0.000000,0.000000
0.010000,4.112312,2.807500,0.912342,2.323829,2.998489,-0.000000,0.000000
0.010000,4.135850,2.807500,0.935880,2.353814,2.998489,0.000000,0.000000
0.010000,4.159688,2.807500,0.959718,2.383799,2.998489,0.000000,0.000000
0.010000,4.183826,2.807500,0.983856,2.413784,2.998489,-0.000000,0.000000
0.010000,4.208264,2.807500,1.008294,2.443769,2.998489,0.000000,0.000000
0.010000,4.233001,2.807500,1.033031,2.473754,2.998489,-0.000000,0.000000
0.010000,4.258039,2.807500,1.058069,2.503738,2.998489,0.000000,0.000000
0.010000,4.283376,2.807500,1.083406,2.533723,2.998489,-0.000000,0.000000
0.010000,4.309013,2.807500,1.109043,2.563708,2.998489,0.000000,0.000000
0.010000,4.334950,2.807500,1.134980,2.593693,2.998489,-0.000000,0.000000
0.010000,4.361187,2.807500,1.161217,2.623678,2.998489,0.000000,0.000000
0.010000,4.387723,2.807500,1.187753,2.653663,2.998489,0.000000,0.000000
0.010000,4.414560,2.807500,1.214590,2.683648,2.998489,0.000000,0.000000
0.010000,4.441696,2.807500,1.241726,2.713633,2.998489,0.000000,0.000000
0.010000,4.469132,2.807500,1.269162,2.743618,2.998489,0.000000,0.000000
0.010000,4.496868,2.807500,1.296898,2.773602,2.998489,0.000000,0.000000
0.010000,4.524904,2.807500,1.324934,2.803587,2.998489,0.000000,0.000000
0.010000,4.553240,2.807500,1.353270,2.833572,2.998489,-0.000000,0.000000
0.010000,4.581876,2.807500,1.381906,2.863557,2.998489,0.000000,0.000000
0.010000,4.610811,2.807500,1.410841,2.893542,2.998489,-0.000000,0.000000
0.010000,4.640046,2.807500,1.440076,2.923527,2.998489,0.000000,0.000000
0.010000,4.669581,2.807500,1.469611,2.953512,2.998489,0.000000,0.000000
0.010000,4.699416,2.807500,1.499446,2.983497,2.998489,-0.000000,0.000000
0.010000,4.729551,2.807500,1.529581,3.013482,2.998489,0.000000,0.000000
0.010000,4.759986,2.807500,1.560016,3.043466,2.998489,0.000000,0.000000
0.010000,4.790720,2.807500,1.590750,3.073451,2.998489,0.000000,0.000000
0.010000,4.821755,2.807500,1.621785,3.103436,2.998489,-0.000000,0.000000
0.010000,4.853089,2.807500,1.653119,3.133421,2.998489,0.000000,0.000000
0.010000,4.884723,2.807500,1.684753,3.163406,2.998489,0.000000,0.000000
0.010000,4.916657,2.807500,1.716687,3.193391,2.998489,0.000000,0.000000
0.010000,4.948891,2.807500,1.748921,3.223376,2.998489,0.000000,0.000000
0.010000,4.981424,2.807500,1.781454,3.253361,2.998489,-0.000000,0.000000
0.010000,5.014258,2.807500,1.814288,3.283346,2.998489,0.000000,0.000000
0.010000,5.047391,2.807500,1.847421,3.313331,2.998489,0.000000,0.000000
0.010000,5.080824,2.807500,1.880854,3.343315,2.998489,-0.000000,0.000000
0.010000,5.114557,2.807500,1.914587,3.373300,2.998489,0.000000,0.000000
0.010000,5.148590,2.807500,1.948620,3.403285,2.998489,-0.000000,0.000000
0.010000,5.182923,2.807500,1.982953,3.433270,2.998489,0.000000,0.000000
0.010000,5.217555,2.807500,2.017585,3.463255,2.998489,-0.000000,0.000000
0.010000,5.252488,2.807500,2.052518,3.493240,2.998489,0.000000,0.000000
0.010000,5.287720,2.807500,2.087750,3.523225,2.998489,0.000000,0.000000
0.010000,5.323252,2.807500,2.123282,3.553210,2.998489,-0.000000,0.000000
0.010000,5.359084,2.807500,2.159114,3.583195,2.998489,0.000000,0.000000
0.010000,5.395216,2.807500,2.195246,3.613179,2.998489,0.000000,0.000000
0.010000,5.431647,2.807500,2.231677,3.643164,2.998489,0.000000,0.000000
0.010000,5.468379,2.807500,2.268409,3.673149,2.998489,-0.000000,0.000000
0.010000,5.505410,2.807500,2.305440,3.703134,2.998489,0.000000,0.000000
0.010000,5.542741,2.807500,2.342771,3.733119,2.998489,0.000000,0.000000
0.010000,5.580373,2.807500,2.380403,3.763104,2.998489,0.000000,0.000000
0.010000,5.618303,2.807500,2.418333,3.793089,2.998489,-0.000000,0.000000
0.010000,5.656534,2.807500,2.456564,3.823074,2.998489,0.000000,0.000000
0.010000,5.695065,2.807500,2.495095,3.853059,2.998489,-0.000000,0.000000
0.010000,5.733895,2.807500,2.533925,3.883043,2.998489,0.000000,0.000000
0.010000,5.773025,2.807500,2.573055,3.913028,2.998489,-0.000000,0.000000
0.010000,5.812456,2.807500,2.612486,3.943013,2.998489,0.000000,0.000000
0.010000,5.852186,2.807500,2.652216,3.972998,2.998489,-0.000000,0.000000
0.010000,5.892215,2.807500,2.692245,4.002983,2.998489,0.000000,0.000000
0.010000,5.932545,2.807500,2.732575,4.032968,2.998489,0.000000,0.000000
0.010000,5.973175,2.807500,2.773205,4.062953,2.998489,-0.000000,0.000000
0.010000,6.014104,2.807500,2.814134,4.092938,2.998489,0.000000,0.000000
0.010000,6.055333,2.807500,2.855363,4.122923,2.998489,-0.000000,0.000000
0.010000,6.096862,2.807500,2.896892,4.152907,2.998489,0.000000,0.000000
0.010000,6.138691,2.807500,2.938721,4.182892,2.998489,-0.000000,0.000000
0.010000,6.180820,2.807500,2.980850,4.212877,2.998489,0.000000,0.000000
0.010000,6.223249,2.807500,3.023279,4.242862,2.998489,-0.000000,0.000000
0.010000,6.265977,2.807500,3.066007,4.272847,2.998489,0.000000,0.000000
0.010000,6.309005,2.807500,3.109035,4.302832,2.998489,-0.000000,0.000000
0.010000,6.352334,2.807500,3.152364,4.332817,2.998489,0.000000,0.000000
0.010000,6.395962,2.807500,3.195992,4.362802,2.998489,-0.000000,0.000000
0.010000,6.439889,2.807500,3.239919,4.392787,2.998489,0.000000,0.000000
0.010000,6.484117,2.807500,3.284147,4.422771,2.998489,-0.000000,0.000000
0.010000,6.528645,2.807500,3.328675,4.452756,2.998489,0.000000,0.000000
0.010000,6.573472,2.807500,3.373502,4.482741,2.998489,-0.000000,0.000000
0.010000,6.618599,2.807500,3.418629,4.512726,2.998489,0.000000,0.000000
0.010000,6.664027,2.807500,3.464056,4.542711,2.998489,-0.000000,0.000000
0.010000,6.709753,2.807500,3.509783,4.572696,2.998489,0.000000,0.000000
0.010000,6.755780,2.807500,3.555810,4.602681,2.998489,0.000000,0.000000
0.010000,6.802107,2.807500,3.602137,4.632666,2.998489,-0.000000,0.000000
0.010000,6.848733,2.807500,3.648763,4.662651,2.998489,0.000000,0.000000
0.010000,6.895660,2.807500,3.695690,4.692636,2.998489,-0.000000,0.000000
0.010000,6.942886,2.807500,3.742916,4.722620,2.998489,0.000000,0.000000
0.010000,6.990412,2.807500,3.790442,4.752605,2.998489,-0.000000,0.000000
0.010000,7.038238,2.807500,3.838268,4.782590,2.998489,0.000000,0.000000
0.010000,7.086364,2.807500,3.886394,4.812575,2.998489,-0.000000,0.000000
0.010000,7.134789,2.807500,3.934819,4.842560,2.998489,0.000000,0.000000
0.010000,7.183515,2.807500,3.983545,4.872545,2.998489,-0.000000,0.000000
0.010000,7.232540,2.807500,4.032570,4.902530,2.998489,0.000000,0.000000
0.010000,7.281865,2.807500,4.081895,4.932515,2.998489,0.000000,0.000000
0.010000,7.331490,2.807500,4.131520,4.962500,2.998489,-0.000000,0.000000
0.010000,7.381415,2.807500,4.181445,4.992484,2.998489,0.000000,0.000000
0.010000,7.431640,2.807500,4.231670,5.022469,2.998489,0.000000,0.000000
0.010000,7.482164,2.807500,4.282194,5.052454,2.998489,0.000000,0.000000
0.010000,7.532989,2.807500,4.333019,5.082439,2.998489,0.000000,0.000000
0.010000,7.584113,2.807500,4.384143,5.112424,2.998489,-0.000000,0.000000
0.010000,7.635537,2.807500,4.435567,5.142409,2.998489,0.000000,0.000000
0.010000,7.687261,2.807500,4.487291,5.172394,2.998489,0.000000,0.000000
0.010000,7.739285,2.807500,4.539315,5.202379,2.998489,0.000000,0.000000
