dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.200000,2.807500,0.000030,0.005981,0.598063,59.806250,0.000000
0.010000,3.200092,2.807500,0.000121,0.009152,0.317094,-28.096875,0.000000
0.010000,3.200361,2.807500,0.000391,0.026913,1.776125,145.903125,0.000000
0.010000,3.200839,2.807500,0.000869,0.047845,2.093219,31.709375,0.000000
0.010000,3.201587,2.807500,0.001617,0.074758,2.691281,59.806250,0.000000
0.010000,3.202633,2.807500,0.002663,0.104661,2.990313,29.903125,0.000000
0.010000,3.203979,2.807500,0.004009,0.134564,2.990313,0.000000,0.000000
0.010000,3.205624,2.807500,0.005653,0.164467,2.990313,-0.000000,0.000000
0.010000,3.207567,2.807500,0.007597,0.194370,2.990313,0.000000,0.000000
0.010000,3.209810,2.807500,0.009840,0.224273,2.990313,-0.000000,0.000000
0.010000,3.212352,2.807500,0.012382,0.254177,2.990313,0.000000,0.000000
0.010000,3.215193,2.807500,0.015222,0.284080,2.990313,-0.000000,0.000000
0.010000,3.218332,2.807500,0.018362,0.313983,2.990313,0.000000,0.000000
0.010000,3.221771,2.807500,0.021801,0.343886,2.990313,0.000000,0.000000
0.010000,3.225509,2.807500,0.025539,0.373789,2.990313,0.000000,0.000000
0.010000,3.229546,2.807500,0.029576,0.403692,2.990313,0.000000,0.000000
0.010000,3.233882,2.807500,0.033912,0.433595,2.990313,-0.000000,0.000000
0.010000,3.238517,2.807500,0.038547,0.463498,2.990313,0.000000,0.000000
0.010000,3.243451,2.807500,0.043481,0.493402,2.990313,-0.000000,0.000000
0.010000,3.248684,2.807500,0.048714,0.523305,2.990313,-0.000000,0.000000
0.010000,3.254216,2.807500,0.054246,0.553208,2.990313,0.000000,0.000000
0.010000,3.260047,2.807500,0.060077,0.583111,2.990313,0.000000,0.000000
0.010000,3.266177,2.807500,0.066207,0.613014,2.990313,-0.000000,0.000000
0.010000,3.272607,2.807500,0.072636,0.642917,2.990313,0.000000,0.000000
0.010000,3.279335,2.807500,0.079365,0.672820,2.990313,0.000000,0.000000
0.010000,3.286362,2.807500,0.086392,0.702723,2.990313,-0.000000,0.000000
0.010000,3.293688,2.807500,0.093718,0.732627,2.990313,0.000000,0.000000
0.010000,3.301314,2.807500,0.101343,0.762530,2.990313,-0.000000,0.000000
0.010000,3.309238,2.807500,0.109268,0.792433,2.990313,-0.000000,0.000000
0.010000,3.317461,2.807500,0.117491,0.822336,2.990313,0.000000,0.000000
0.010000,3.325984,2.807500,0.126014,0.852239,2.990313,0.000000,0.000000
0.010000,3.334805,2.807500,0.134835,0.882142,2.990313,0.000000,0.000000
0.010000,3.343926,2.807500,0.143955,0.912045,2.990313,0.000000,0.000000
0.010000,3.353345,2.807500,0.153375,0.941948,2.990313,0.000000,0.000000
0.010000,3.363064,2.807500,0.163093,0.971852,2.990313,0.000000,0.000000
0.010000,3.373081,2.807500,0.173111,1.001755,2.990313,0.000000,0.000000
0.010000,3.383398,2.807500,0.183428,1.031658,2.990313,-0.000000,0.000000
0.010000,3.394013,2.807500,0.194043,1.061561,2.990313,-0.000000,0.000000
0.010000,3.404928,2.807500,0.204958,1.091464,2.990313,0.000000,0.000000
0.010000,3.416142,2.807500,0.216171,1.121367,2.990313,0.000000,0.000000
0.010000,3.427654,2.807500,0.227684,1.151270,2.990313,-0.000000,0.000000
0.010000,3.439466,2.807500,0.239496,1.181173,2.990313,0.000000,0.000000
0.010000,3.451577,2.807500,0.251607,1.211077,2.990313,0.000000,0.000000
0.010000,3.463987,2.807500,0.264016,1.240980,2.990313,-0.000000,0.000000
0.010000,3.476695,2.807500,0.276725,1.270883,2.990313,0.000000,0.000000
0.010000,3.489703,2.807500,0.289733,1.300786,2.990313,0.000000,0.000000
0.010000,3.503010,2.807500,0.303040,1.330689,2.990313,-0.000000,0.000000
0.010000,3.516616,2.807500,0.316646,1.360592,2.990313,0.000000,0.000000
0.010000,3.530521,2.807500,0.330551,1.390495,2.990313,-0.000000,0.000000
0.010000,3.544725,2.807500,0.344755,1.420398,2.990313,0.000000,0.000000
0.010000,3.559228,2.807500,0.359258,1.450302,2.990313,0.000000,0.000000
0.010000,3.574030,2.807500,0.374060,1.480205,2.990313,0.000000,0.000000
0.010000,3.589131,2.807500,0.389161,1.510108,2.990313,-0.000000,0.000000
0.010000,3.604531,2.807500,0.404561,1.540011,2.990313,-0.000000,0.000000
0.010000,3.620230,2.807500,0.420260,1.569914,2.990313,0.000000,0.000000
0.010000,3.636229,2.807500,0.436258,1.599817,2.990313,-0.000000,0.000000
0.010000,3.652526,2.807500,0.452556,1.629720,2.990313,0.000000,0.000000
0.010000,3.669122,2.807500,0.469152,1.659623,2.990313,-0.000000,0.000000
0.010000,3.686017,2.807500,0.486047,1.689527,2.990313,0.000000,0.000000
0.010000,3.703212,2.807500,0.503241,1.719430,2.990313,0.000000,0.000000
0.010000,3.720705,2.807500,0.520735,1.749333,2.990313,-0.000000,0.000000
0.010000,3.738497,2.807500,0.538527,1.779236,2.990313,0.000000,0.000000
0.010000,3.756589,2.807500,0.556619,1.809139,2.990313,-0.000000,0.000000
0.010000,3.774979,2.807500,0.575009,1.839042,2.990313,0.000000,0.000000
0.010000,3.793669,2.807500,0.593698,1.868945,2.990313,-0.000000,0.000000
0.010000,3.812657,2.807500,0.612687,1.898848,2.990313,-0.000000,0.000000
0.010000,3.831945,2.807500,0.631974,1.928752,2.990313,0.000000,0.000000
0.010000,3.851531,2.807500,0.651561,1.958655,2.990313,0.000000,0.000000
0.010000,3.871417,2.807500,0.671447,1.988558,2.990313,-0.000000,0.000000
0.010000,3.891601,2.807500,0.691631,2.018461,2.990313,0.000000,0.000000
0.010000,3.912085,2.807500,0.712115,2.048364,2.990313,0.000000,0.000000
0.010000,3.932868,2.807500,0.732897,2.078267,2.990313,-0.000000,0.000000
0.010000,3.953949,2.807500,0.753979,2.108170,2.990313,-0.000000,0.000000
0.010000,3.975330,2.807500,0.775360,2.138073,2.990313,0.000000,0.000000
0.010000,3.997010,2.807500,0.797040,2.167977,2.990313,0.000000,0.000000
0.010000,4.018989,2.807500,0.819018,2.197880,2.990313,-0.000000,0.000000
0.010000,4.041266,2.807500,0.841296,2.227783,2.990313,0.000000,0.000000
0.010000,4.063843,2.807500,0.863873,2.257686,2.990313,-0.000000,0.000000
0.010000,4.086719,2.807500,0.886749,2.287589,2.990313,0.000000,0.000000
0.010000,4.109894,2.807500,0.909924,2.317492,2.990313,-0.000000,0.000000
0.010000,4.133368,2.807500,0.933398,2.347395,2.990313,0.000000,0.000000
0.010000,4.157141,2.807500,0.957171,2.377298,2.990313,-0.000000,0.000000
0.010000,4.181213,2.807500,0.981243,2.407202,2.990313,0.000000,0.000000
