dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.000000,0.937500,0.000025,0.004996,0.499589,49.958918,0.000000
0.010000,3.000055,0.937500,0.000080,0.005490,0.049384,-45.020541,0.000000
0.010000,3.000280,0.937500,0.000305,0.022482,1.699178,164.979459,0.000000
0.010000,3.000679,0.937500,0.000704,0.039967,1.748562,4.938377,0.000000
0.010000,3.001279,0.937500,0.001304,0.059951,1.998357,24.979459,0.000000
0.010000,3.002078,0.937500,0.002103,0.079934,1.998357,0.000000,0.000000
0.010000,3.003077,0.937500,0.003102,0.099918,1.998357,-0.000000,0.000000
0.010000,3.004276,0.937500,0.004301,0.119901,1.998357,0.000000,0.000000
0.010000,3.005675,0.937500,0.005700,0.139885,1.998357,0.000000,0.000000
0.010000,3.007274,0.937500,0.007299,0.159869,1.998357,0.000000,0.000000
0.010000,3.009072,0.937500,0.009097,0.179852,1.998357,-0.000000,0.000000
0.010000,3.011071,0.937500,0.011096,0.199836,1.998357,0.000000,0.000000
0.010000,3.013269,0.937500,0.013294,0.219819,1.998357,0.000000,0.000000
0.010000,3.015667,0.937500,0.015692,0.239803,1.998357,0.000000,0.000000
0.010000,3.018265,0.937500,0.018290,0.259786,1.998357,-0.000000,0.000000
0.010000,3.021063,0.937500,0.021088,0.279770,1.998357,0.000000,0.000000
0.010000,3.024060,0.937500,0.024085,0.299754,1.998357,-0.000000,0.000000
0.010000,3.027258,0.937500,0.027283,0.319737,1.998357,0.000000,0.000000
0.010000,3.030655,0.937500,0.030680,0.339721,1.998357,-0.000000,0.000000
0.010000,3.034252,0.937500,0.034277,0.359704,1.998357,0.000000,0.000000
0.010000,3.038049,0.937500,0.038074,0.379688,1.998357,0.000000,0.000000
0.010000,3.042045,0.937500,0.042070,0.399671,1.998357,-0.000000,0.000000
0.010000,3.046242,0.937500,0.046267,0.419655,1.998357,0.000000,0.000000
0.010000,3.050638,0.937500,0.050663,0.439638,1.998357,-0.000000,0.000000
0.010000,3.055235,0.937500,0.055260,0.459622,1.998357,0.000000,0.000000
0.010000,3.060031,0.937500,0.060056,0.479606,1.998357,0.000000,0.000000
0.010000,3.065026,0.937500,0.065051,0.499589,1.998357,-0.000000,0.000000
0.010000,3.070222,0.937500,0.070247,0.519573,1.998357,0.000000,0.000000
0.010000,3.075618,0.937500,0.075643,0.539556,1.998357,-0.000000,0.000000
0.010000,3.081213,0.937500,0.081238,0.559540,1.998357,0.000000,0.000000
0.010000,3.087008,0.937500,0.087033,0.579523,1.998357,-0.000000,0.000000
0.010000,3.093003,0.937500,0.093028,0.599507,1.998357,0.000000,0.000000
0.010000,3.099198,0.937500,0.099223,0.619491,1.998357,-0.000000,0.000000
0.010000,3.105593,0.937500,0.105618,0.639474,1.998357,0.000000,0.000000
0.010000,3.112188,0.937500,0.112213,0.659458,1.998357,0.000000,0.000000
0.010000,3.118982,0.937500,0.119007,0.679441,1.998357,0.000000,0.000000
0.010000,3.125976,0.937500,0.126001,0.699425,1.998357,-0.000000,0.000000
0.010000,3.133170,0.937500,0.133195,0.719408,1.998357,0.000000,0.000000
0.010000,3.140564,0.937500,0.140589,0.739392,1.998357,0.000000,0.000000
0.010000,3.148158,0.937500,0.148183,0.759376,1.998357,0.000000,0.000000
0.010000,3.155952,0.937500,0.155977,0.779359,1.998357,-0.000000,0.000000
0.010000,3.163945,0.937500,0.163970,0.799343,1.998357,0.000000,0.000000
0.010000,3.172138,0.937500,0.172163,0.819326,1.998357,0.000000,0.000000
0.010000,3.180531,0.937500,0.180556,0.839310,1.998357,0.000000,0.000000
0.010000,3.189124,0.937500,0.189149,0.859293,1.998357,-0.000000,0.000000
0.010000,3.197917,0.937500,0.197942,0.879277,1.998357,0.000000,0.000000
0.010000,3.206910,0.937500,0.206935,0.899261,1.998357,-0.000000,0.000000
0.010000,3.216102,0.937500,0.216127,0.919244,1.998357,0.000000,0.000000
0.010000,3.225495,0.937500,0.225519,0.939228,1.998357,-0.000000,0.000000
0.010000,3.235087,0.937500,0.235112,0.959211,1.998357,0.000000,0.000000
0.010000,3.244879,0.937500,0.244904,0.979195,1.998357,0.000000,0.000000
0.010000,3.254870,0.937500,0.254895,0.999178,1.998357,0.000000,0.000000
0.010000,3.265062,0.937500,0.265087,1.019162,1.998357,0.000000,0.000000
0.010000,3.275453,0.937500,0.275478,1.039145,1.998357,0.000000,0.000000
0.010000,3.286045,0.937500,0.286070,1.059129,1.998357,-0.000000,0.000000
0.010000,3.296836,0.937500,0.296861,1.079113,1.998357,0.000000,0.000000
0.010000,3.307827,0.937500,0.307852,1.099096,1.998357,-0.000000,0.000000
0.010000,3.319018,0.937500,0.319043,1.119080,1.998357,0.000000,0.000000
0.010000,3.330408,0.937500,0.330433,1.139063,1.998357,0.000000,0.000000
0.010000,3.341999,0.937500,0.342024,1.159047,1.998357,-0.000000,0.000000
0.010000,3.353789,0.937500,0.353814,1.179030,1.998357,0.000000,0.000000
0.010000,3.365779,0.937500,0.365804,1.199014,1.998357,0.000000,0.000000
0.010000,3.377969,0.937500,0.377994,1.218998,1.998357,-0.000000,0.000000
0.010000,3.390359,0.937500,0.390384,1.238981,1.998357,0.000000,0.000000
0.010000,3.402949,0.937500,0.402974,1.258965,1.998357,-0.000000,0.000000
0.010000,3.415738,0.937500,0.415763,1.278948,1.998357,0.000000,0.000000
0.010000,3.428727,0.937500,0.428752,1.298932,1.998357,0.000000,0.000000
0.010000,3.441917,0.937500,0.441942,1.318915,1.998357,0.000000,0.000000
0.010000,3.455306,0.937500,0.455331,1.338899,1.998357,0.000000,0.000000
0.010000,3.468894,0.937500,0.468919,1.358883,1.998357,-0.000000,0.000000
0.010000,3.482683,0.937500,0.482708,1.378866,1.998357,-0.000000,0.000000
0.010000,3.496672,0.937500,0.496697,1.398850,1.998357,0.000000,0.000000
0.010000,3.510860,0.937500,0.510885,1.418833,1.998357,-0.000000,0.000000
0.010000,3.525248,0.937500,0.525273,1.438817,1.998357,-0.000000,0.000000
0.010000,3.539836,0.937500,0.539861,1.458800,1.998357,0.000000,0.000000
0.010000,3.554624,0.937500,0.554649,1.478784,1.998357,-0.000000,0.000000
0.010000,3.569612,0.937500,0.569637,1.498768,1.998357,0.000000,0.000000
0.010000,3.584799,0.937500,0.584824,1.518751,1.998357,0.000000,0.000000
0.010000,3.600186,0.937500,0.600211,1.538735,1.998357,0.000000,0.000000
0.010000,3.615774,0.937500,0.615799,1.558718,1.998357,-0.000000,0.000000
0.010000,3.631561,0.937500,0.631586,1.578702,1.998357,0.000000,0.000000
0.010000,3.647547,0.937500,0.647572,1.598685,1.998357,-0.000000,0.000000
0.010000,3.663734,0.937500,0.663759,1.618669,1.998357,0.000000,0.000000
0.010000,3.680121,0.937500,0.680146,1.638653,1.998357,-0.000000,0.000000
0.010000,3.696707,0.937500,0.696732,1.658636,1.998357,0.000000,0.000000
0.010000,3.713493,0.937500,0.713518,1.678620,1.998357,0.000000,0.000000
0.010000,3.730479,0.937500,0.730504,1.698603,1.998357,-0.000000,0.000000
0.010000,3.747665,0.937500,0.747690,1.718587,1.998357,0.000000,0.000000
